"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industrie pharmaceutique (NAF rév. 2, niveau division, poste 21)";"Codes"
"idBank";"010767832";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"2024-02";"110.0";"A"
"2024-01";"115.02";"A"
"2023-12";"113.91";"A"
"2023-11";"109.34";"A"
"2023-10";"104.65";"A"
"2023-09";"103.93";"A"
"2023-08";"100.53";"A"
"2023-07";"106.16";"A"
"2023-06";"101.19";"A"
"2023-05";"98.45";"A"
"2023-04";"100.8";"A"
"2023-03";"100.8";"A"
"2023-02";"113.9";"A"
"2023-01";"104.25";"A"
"2022-12";"114.95";"A"
"2022-11";"107.81";"A"
"2022-10";"104.83";"A"
"2022-09";"106.36";"A"
"2022-08";"108.69";"A"
"2022-07";"105.08";"A"
"2022-06";"108.41";"A"
"2022-05";"107.11";"A"
"2022-04";"108.29";"A"
"2022-03";"98.66";"A"
"2022-02";"95.61";"A"
"2022-01";"107.06";"A"
"2021-12";"85.26";"A"
"2021-11";"96.02";"A"
"2021-10";"98.38";"A"
"2021-09";"97.94";"A"
"2021-08";"107.1";"A"
"2021-07";"93.02";"A"
"2021-06";"97.9";"A"
"2021-05";"101.12";"A"
"2021-04";"98.51";"A"
"2021-03";"104.5";"A"
"2021-02";"103.55";"A"
"2021-01";"116.71";"A"
"2020-12";"92.65";"A"
"2020-11";"99.13";"A"
"2020-10";"106.58";"A"
"2020-09";"99.76";"A"
"2020-08";"92.39";"A"
"2020-07";"98.21";"A"
"2020-06";"97.53";"A"
"2020-05";"94.66";"A"
"2020-04";"92.8";"A"
"2020-03";"117.71";"A"
"2020-02";"96.3";"A"
"2020-01";"97.63";"A"
"2019-12";"98.3";"A"
"2019-11";"93.68";"A"
"2019-10";"107.08";"A"
"2019-09";"95.49";"A"
"2019-08";"96.62";"A"
"2019-07";"97.14";"A"
"2019-06";"91.65";"A"
"2019-05";"103.2";"A"
"2019-04";"91.3";"A"
"2019-03";"88.24";"A"
"2019-02";"94.39";"A"
"2019-01";"88.57";"A"
"2018-12";"97.29";"A"
"2018-11";"89.05";"A"
"2018-10";"90.9";"A"
"2018-09";"87.98";"A"
"2018-08";"90.39";"A"
"2018-07";"89.41";"A"
"2018-06";"88.99";"A"
"2018-05";"87.35";"A"
"2018-04";"87.23";"A"
"2018-03";"92.04";"A"
"2018-02";"83.98";"A"
"2018-01";"84.16";"A"
"2017-12";"87.79";"A"
"2017-11";"90.44";"A"
"2017-10";"86.65";"A"
"2017-09";"84.27";"A"
"2017-08";"78.62";"A"
"2017-07";"83.09";"A"
"2017-06";"83.29";"A"
"2017-05";"82.97";"A"
"2017-04";"84.5";"A"
"2017-03";"76.65";"A"
"2017-02";"80.14";"A"
"2017-01";"81.29";"A"
"2016-12";"81.79";"A"
"2016-11";"87.48";"A"
"2016-10";"76.99";"A"
"2016-09";"79.96";"A"
"2016-08";"84.19";"A"
"2016-07";"81.76";"A"
"2016-06";"84.7";"A"
"2016-05";"80.93";"A"
"2016-04";"78.26";"A"
"2016-03";"81.28";"A"
"2016-02";"76.86";"A"
"2016-01";"82.27";"A"
"2015-12";"89.0";"A"
"2015-11";"80.92";"A"
"2015-10";"82.24";"A"
"2015-09";"82.38";"A"
"2015-08";"81.74";"A"
"2015-07";"80.73";"A"
"2015-06";"80.2";"A"
"2015-05";"82.39";"A"
"2015-04";"80.87";"A"
"2015-03";"83.31";"A"
"2015-02";"81.3";"A"
"2015-01";"79.36";"A"
"2014-12";"74.11";"A"
"2014-11";"73.43";"A"
"2014-10";"73.32";"A"
"2014-09";"73.19";"A"
"2014-08";"73.36";"A"
"2014-07";"66.89";"A"
"2014-06";"65.43";"A"
"2014-05";"65.82";"A"
"2014-04";"71.18";"A"
"2014-03";"71.48";"A"
"2014-02";"73.53";"A"
"2014-01";"66.53";"A"
"2013-12";"71.86";"A"
"2013-11";"72.16";"A"
"2013-10";"71.55";"A"
"2013-09";"73.98";"A"
"2013-08";"69.26";"A"
"2013-07";"72.23";"A"
"2013-06";"74.45";"A"
"2013-05";"77.76";"A"
"2013-04";"75.76";"A"
"2013-03";"73.9";"A"
"2013-02";"72.55";"A"
"2013-01";"75.38";"A"
"2012-12";"70.59";"A"
"2012-11";"70.75";"A"
"2012-10";"65.5";"A"
"2012-09";"74.51";"A"
"2012-08";"78.78";"A"
"2012-07";"73.58";"A"
"2012-06";"76.37";"A"
"2012-05";"76.72";"A"
"2012-04";"79.29";"A"
"2012-03";"71.97";"A"
"2012-02";"73.08";"A"
"2012-01";"66.09";"A"
"2011-12";"71.0";"A"
"2011-11";"72.01";"A"
"2011-10";"70.16";"A"
"2011-09";"67.91";"A"
"2011-08";"72.87";"A"
"2011-07";"70.73";"A"
"2011-06";"65.6";"A"
"2011-05";"67.56";"A"
"2011-04";"65.5";"A"
"2011-03";"68.29";"A"
"2011-02";"73.49";"A"
"2011-01";"67.78";"A"
"2010-12";"70.44";"A"
"2010-11";"69.12";"A"
"2010-10";"70.88";"A"
"2010-09";"68.06";"A"
"2010-08";"71.53";"A"
"2010-07";"77.08";"A"
"2010-06";"74.09";"A"
"2010-05";"72.7";"A"
"2010-04";"70.77";"A"
"2010-03";"74.41";"A"
"2010-02";"70.67";"A"
"2010-01";"72.84";"A"
"2009-12";"78.48";"A"
"2009-11";"77.49";"A"
"2009-10";"69.86";"A"
"2009-09";"82.43";"A"
"2009-08";"73.19";"A"
"2009-07";"74.0";"A"
"2009-06";"75.94";"A"
"2009-05";"74.91";"A"
"2009-04";"69.88";"A"
"2009-03";"69.3";"A"
"2009-02";"66.54";"A"
"2009-01";"74.47";"A"
"2008-12";"74.2";"A"
"2008-11";"75.46";"A"
"2008-10";"77.01";"A"
"2008-09";"70.13";"A"
"2008-08";"69.72";"A"
"2008-07";"68.21";"A"
"2008-06";"71.32";"A"
"2008-05";"69.66";"A"
"2008-04";"72.02";"A"
"2008-03";"73.63";"A"
"2008-02";"75.33";"A"
"2008-01";"72.65";"A"
"2007-12";"73.83";"A"
"2007-11";"71.71";"A"
"2007-10";"71.82";"A"
"2007-09";"73.77";"A"
"2007-08";"73.47";"A"
"2007-07";"73.31";"A"
"2007-06";"71.97";"A"
"2007-05";"73.12";"A"
"2007-04";"71.28";"A"
"2007-03";"71.66";"A"
"2007-02";"73.46";"A"
"2007-01";"76.49";"A"
"2006-12";"71.57";"A"
"2006-11";"71.96";"A"
"2006-10";"72.52";"A"
"2006-09";"71.91";"A"
"2006-08";"69.31";"A"
"2006-07";"73.77";"A"
"2006-06";"72.45";"A"
"2006-05";"73.17";"A"
"2006-04";"74.59";"A"
"2006-03";"73.75";"A"
"2006-02";"72.53";"A"
"2006-01";"69.89";"A"
"2005-12";"72.45";"A"
"2005-11";"72.69";"A"
"2005-10";"72.14";"A"
"2005-09";"73.15";"A"
"2005-08";"72.71";"A"
"2005-07";"71.0";"A"
"2005-06";"70.18";"A"
"2005-05";"70.34";"A"
"2005-04";"72.67";"A"
"2005-03";"68.14";"A"
"2005-02";"69.62";"A"
"2005-01";"68.37";"A"
"2004-12";"68.75";"A"
"2004-11";"69.24";"A"
"2004-10";"68.95";"A"
"2004-09";"67.49";"A"
"2004-08";"68.02";"A"
"2004-07";"67.27";"A"
"2004-06";"68.23";"A"
"2004-05";"69.98";"A"
"2004-04";"66.15";"A"
"2004-03";"67.52";"A"
"2004-02";"67.84";"A"
"2004-01";"67.15";"A"
"2003-12";"67.57";"A"
"2003-11";"65.57";"A"
"2003-10";"65.71";"A"
"2003-09";"64.87";"A"
"2003-08";"66.08";"A"
"2003-07";"68.52";"A"
"2003-06";"65.29";"A"
"2003-05";"63.21";"A"
"2003-04";"63.53";"A"
"2003-03";"64.24";"A"
"2003-02";"62.64";"A"
"2003-01";"62.62";"A"
"2002-12";"59.74";"A"
"2002-11";"63.6";"A"
"2002-10";"60.58";"A"
"2002-09";"65.01";"A"
"2002-08";"62.04";"A"
"2002-07";"61.15";"A"
"2002-06";"61.04";"A"
"2002-05";"60.79";"A"
"2002-04";"62.71";"A"
"2002-03";"62.55";"A"
"2002-02";"61.34";"A"
"2002-01";"62.79";"A"
"2001-12";"59.93";"A"
"2001-11";"59.13";"A"
"2001-10";"59.14";"A"
"2001-09";"58.21";"A"
"2001-08";"60.84";"A"
"2001-07";"58.66";"A"
"2001-06";"59.05";"A"
"2001-05";"59.61";"A"
"2001-04";"58.76";"A"
"2001-03";"57.7";"A"
"2001-02";"55.8";"A"
"2001-01";"54.38";"A"
"2000-12";"55.54";"A"
"2000-11";"54.12";"A"
"2000-10";"53.83";"A"
"2000-09";"53.33";"A"
"2000-08";"50.83";"A"
"2000-07";"50.47";"A"
"2000-06";"51.99";"A"
"2000-05";"53.24";"A"
"2000-04";"48.56";"A"
"2000-03";"49.95";"A"
"2000-02";"49.6";"A"
"2000-01";"51.58";"A"
"1999-12";"50.16";"A"
"1999-11";"50.98";"A"
"1999-10";"50.05";"A"
"1999-09";"46.85";"A"
"1999-08";"47.87";"A"
"1999-07";"47.36";"A"
"1999-06";"49.95";"A"
"1999-05";"47.02";"A"
"1999-04";"45.42";"A"
"1999-03";"47.32";"A"
"1999-02";"48.78";"A"
"1999-01";"44.47";"A"
"1998-12";"46.82";"A"
"1998-11";"45.84";"A"
"1998-10";"45.41";"A"
"1998-09";"46.12";"A"
"1998-08";"45.22";"A"
"1998-07";"47.68";"A"
"1998-06";"45.07";"A"
"1998-05";"45.68";"A"
"1998-04";"45.27";"A"
"1998-03";"44.47";"A"
"1998-02";"45.56";"A"
"1998-01";"43.08";"A"
"1997-12";"41.57";"A"
"1997-11";"38.02";"A"
"1997-10";"46.11";"A"
"1997-09";"41.84";"A"
"1997-08";"42.42";"A"
"1997-07";"41.25";"A"
"1997-06";"40.21";"A"
"1997-05";"40.37";"A"
"1997-04";"41.3";"A"
"1997-03";"40.03";"A"
"1997-02";"40.48";"A"
"1997-01";"41.29";"A"
"1996-12";"43.97";"A"
"1996-11";"41.91";"A"
"1996-10";"39.11";"A"
"1996-09";"39.74";"A"
"1996-08";"38.88";"A"
"1996-07";"37.71";"A"
"1996-06";"40.01";"A"
"1996-05";"41.61";"A"
"1996-04";"39.92";"A"
"1996-03";"40.44";"A"
"1996-02";"39.51";"A"
"1996-01";"39.83";"A"
"1995-12";"39.29";"A"
"1995-11";"37.5";"A"
"1995-10";"39.0";"A"
"1995-09";"39.27";"A"
"1995-08";"38.82";"A"
"1995-07";"38.95";"A"
"1995-06";"39.34";"A"
"1995-05";"39.22";"A"
"1995-04";"38.57";"A"
"1995-03";"38.47";"A"
"1995-02";"37.38";"A"
"1995-01";"37.14";"A"
"1994-12";"38.06";"A"
"1994-11";"37.58";"A"
"1994-10";"37.48";"A"
"1994-09";"36.79";"A"
"1994-08";"37.3";"A"
"1994-07";"36.89";"A"
"1994-06";"35.87";"A"
"1994-05";"35.12";"A"
"1994-04";"35.09";"A"
"1994-03";"34.4";"A"
"1994-02";"34.23";"A"
"1994-01";"34.43";"A"
"1993-12";"37.81";"A"
"1993-11";"36.1";"A"
"1993-10";"35.3";"A"
"1993-09";"36.1";"A"
"1993-08";"34.23";"A"
"1993-07";"35.16";"A"
"1993-06";"35.49";"A"
"1993-05";"34.47";"A"
"1993-04";"34.2";"A"
"1993-03";"36.07";"A"
"1993-02";"35.54";"A"
"1993-01";"35.38";"A"
"1992-12";"33.49";"A"
"1992-11";"34.32";"A"
"1992-10";"33.8";"A"
"1992-09";"31.89";"A"
"1992-08";"35.87";"A"
"1992-07";"34.45";"A"
"1992-06";"33.75";"A"
"1992-05";"34.02";"A"
"1992-04";"33.83";"A"
"1992-03";"32.06";"A"
"1992-02";"32.9";"A"
"1992-01";"32.53";"A"
"1991-12";"33.1";"A"
"1991-11";"31.74";"A"
"1991-10";"31.96";"A"
"1991-09";"31.25";"A"
"1991-08";"31.17";"A"
"1991-07";"30.4";"A"
"1991-06";"30.59";"A"
"1991-05";"30.37";"A"
"1991-04";"30.96";"A"
"1991-03";"30.14";"A"
"1991-02";"30.81";"A"
"1991-01";"30.13";"A"
"1990-12";"29.6";"A"
"1990-11";"29.79";"A"
"1990-10";"30.01";"A"
"1990-09";"29.25";"A"
"1990-08";"29.99";"A"
"1990-07";"28.08";"A"
"1990-06";"29.56";"A"
"1990-05";"30.01";"A"
"1990-04";"29.05";"A"
"1990-03";"30.35";"A"
"1990-02";"25.08";"A"
"1990-01";"27.73";"A"
